,mean,std
support_mean_c670,0.4538845514444445,
support_mean_c672,1.5931073157777775,
support_mean_c675,0.5288092697777778,
support_mean_c678,1.1868678680888889,
support_mean_c681,0.40636807144444437,
support_mean_c687,0.4996667315222222,
support_mean_c69,1.6069591265555554,
support_mean_c691,0.4516660057777777,
support_mean_c692,0.36255681246666666,
support_mean_c693,0.5515999708111111,
support_mean_c694,0.7452666917777778,
support_mean_c695,1.643953910333333,
support_mean_c697,1.6433799969999998,
support_mean_c701,0.47551929283333344,
support_mean_c702,0.546990357,
support_mean_c705,0.4486626283777777,
support_mean_c708,0.5441671925555556,
support_mean_c711,0.7953745928433333,
support_mean_c712,0.7579404605555555,
support_mean_c713,0.5923455182888889,
support_mean_c715,1.1086940274444443,
support_mean_c716,0.39327155055555557,
support_mean_c717,0.6675845730111111,
support_mean_c719,1.1938088616666667,
support_mean_c728,0.7507633295555555,
support_mean_c729,0.5053461944222223,
support_mean_c732,0.6624063662222223,
support_mean_c735,0.3729218584033333,
support_mean_c736,0.4883705225555555,
support_mean_c738,1.0720803017777778,
support_mean_c739,1.4783414391111112,
support_mean_c74,0.5057523825555555,
support_mean_c740,0.7281340964444444,
support_mean_c741,0.46031541292222217,
